Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday
Holiday Inn Hotel - Parkview,"11 Cavenagh Road, S(229616)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Holland Road Shopping Centre,"211 Holland Avenue, S(278967)",\$2.20/30min from 12midnight to 8.59pm from Mon-Thurs,\$4.80/entry from 9pm to 12midnight the following day from Mon-Thurs,"\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday","\$2.20/30min from 12midnight to 9pm, \$5.80/entry from 9pm to 12midnight the following day from Friday to Sunday"
Hong Leong Building,"16 Raffles Quay, S(048581)",\$3.00/30min from 7am to 5.59pm,\$2.00/hr from 6pm to 6.59am the following day,"\$3.00/30min from 7am to 12.59pm, \$2.00/hr from 1pm to 6.59am the following day",\$2.00/hr from 7am to 6.59am the following day
Hotel Asia,"37 Scotts Road, S(228229)",Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests
Singapore Art Museum,"71 Bras Basah Road, S(189555)",Limited Free Parking Lots,Limited Free Parking Lots,Not for public,Not for public
Singapore Tourism Board (STB),"1 Orchard Spring Lane, S(247729)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 8.30am to 6pm",Car Park closed after 6pm,Closed,Closed
Hotel Rendezvous,"9 Bras Basah Road, S(189559)",\$3.70/hr from 7am to 5pm,\$3.70/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Hotel Royal Queens,"12 Queen Street, S(188553)",\$1.28/30min from 8am to 6pm,\$3.21/entry 6pm to 8am the following day,Charges same as weekdays,\$3.21/entry from 8am to 8am the following day
Hotel Windsor,"401 Macpherson Road, S(368125)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
Hougang Mall,"90 Hougang Avenue 10, S(538766)","\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.20 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight","\$1.30 for 1st hr, \$0.70/30min for the 2nd hr, \$1.00/30min for parking above 2hr from 7am to 12midnight"
Hougang 1,"1 Hougang Street 91, S(538692)","\$1.34 for 1st hr, \$0.81 for next subsequent 30min from 7am to 5pm","\$1.34 for 1st hr, \$0.81 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
ICA Building,"10 Kallang Road, S(208718)",\$0.80/30min from 8am the 5pm,"\$0.60/30min from 5pm to 7am the following day, Parking charges capped at \$5.00 from 10.30pm to 7am the following day",Charges same as weekdays,"\$0.60/30min from 7am to 10.30pm the following day, Parking charges capped at \$5.00 from 10.30pm to 7am the following day"
IKEA Alexandra,"317 Alexandra Road, S(159965)",\$1.50/30min from 8am to 5pm,\$1.50/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
IMM Building,"2 Jurong East Street 21, S(609601)","1st 2hr free \$1.07 for 3rd hr, \$0.30 for next subsequent 15min","1st 2hr free, \$1.07 for 3rd hr, \$0.30 for next subsequent 15min","\$1.07 for 1st 2hr, \$1.07 for 3rd hr, \$0.30 for next subsequent 15min","\$1.07 for 1st 2hr, \$1.07 for 3rd hr, \$0.30 for next subsequent 15min"
Institute Of Mental Health (IMH),"10 Buangkok View, S(539747)",Free Parking,Free Parking,Free Parking,Free Parking
Inter-continental Singapore Hotel,"80 Middle Road,S(88966)","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm, \$2.50/entry from 5pm to 8am the following day from Mon to Thurs","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm, \$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 5pm to 8am the following day on Fri","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day"
International Building,"360 Orchard Road, S(238869)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
Grand Copthorne Waterfront Hotel,"392 Havelock Road, S(169663)","\$3.75 for 1st hr, \$2.14 for next subsequent hr from 7am to 5pm",\$4.28/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.28/entry from 7am to 7am the following day
Chijmes (Valet Parking),"30 Victoria Street, S(187996)",Not Applicable,"\$4.00/entry for Valet charge, Additional \$4.00/hr for carpark charges applies from 6.00pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays
Chinatown Point,"133 New Bridge Road, S(059413)",\$1.20/30min from 7.01am to 5pm,\$2.50/entry from 5.01pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7.01am to 7am the following day
Cineleisure Orchard,"8 Grange Road, S(239695)","\$2.40 for 1st hr, \$1.40 for next subsequent 30min from 7am to 5.59pm","\$4.50 for 1st 3hr, \$1.60 for next subsequent 30min from 6pm to 6.59am the following day","\$4.50 for 1st 3hr, \$1.60 for next subsequent 30min from 7am to 7.59am the following day","\$4.50 for 1st 3hr, \$1.60 for next subsequent 30min from 8am to 7.59am the following day"
City Bayview Hotel,"30 Bencoolen Street, S(189621)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 7am to 5pm","\$3.00/entry from 5pm to 11pm, \$4.00/entry from 11pm to 7am the following day",Charges same as weekdays,"\$3.00/entry from 7am to 11pm, \$4.00/entry from 11pm to 7am the following day"
Clarke Quay,"3 River Valley Road, S(179019)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 7am to 12.29pm","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 1.30pm to 6.59am the following dayto a maximum of \$6.42 from 1.30pm to 6.59am the following day","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 7am to 6.59am the following day",\$2.68/entry from 7am to 6.59am the following day
Clifford Centre,"24 Raffles Place, S(048621)",\$5.00/hr from 7am to 5pm \$2.50/30mins,\$3.00/entry from 5pm to 11pm,Charges same as weekdays,Charges same as weekdays
Compass One,"1 Sengkang Square, S(545078)","\$1.40 for 1st 1hr, \$0.70 for next subsequent 30min from 7am to 11pm","\$1.40 for 1st 1hr, \$0.70 for next subsequent 30min from 7am to 11pm",Charges same as weekdays,Charges same as weekdays
Concorde Shopping Centre,"317 Outram Road, S(169075)",\$1.93/hr from 7am to 5pm,\$3.85/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.85/entry from 7am to 7am the following day
Conrad Centennial Singapore (Basement Car Park),"2 Temasek Boulevard, S(038982)","\$3.30 for 1st hr, \$1.10 for next subsequent 30min from 7am to 6pm",\$2.20/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day","\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day"
Copthorne King's Hotel,"403 Havelock Road, S(169632)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 12midnight","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays
Copthorne Orchid Hotel,"214 Dunearn Road, S(299526)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
CPF Building Robinson Road,"79 Robinson Road, S(068897)","\$1.50/30min for the 1st 2hr, \$2.00/30min thereafter from 6am to 6pm","Car Park closed after 5pm, vehicle remaining from 5pm onward will be charged an additional flat rate of \$5.00",Closed,Closed
CPF Tampines Building Car Park,"1 Tampines Central 5, S(529508)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
Grand Park Orchard,"270 Orchard Road, S(238857)","\$3.50 for 1st hr, \$1.50/subsequent 30min from 8am to 5pm daily including Public Holidays",\$5.00/entry from 5pm to 8am the following day daily including Public Holidays,Same Charges as Weekdays,Same Charges as Weekdays
OUE Downtown 1,"6 Shenton Way, S(068809)",*,*,*,*
OUE Downtown 2,"6 Shenton Way, S(068809)",\$2.57/30min from 8am to 6pm,\$2.57/entry from 6pm to 11pm,"\$2.57/30min or part thereof from 6am to 1pm, \$2.57/entry from 1pm to 11pm",\$2.57/entry from 6am to 11pm
Delfi Orchard,"402 Orchard Road, S(238876)","\$3.64 for 1st hr, \$2.35 for next subsequent 30min from 8am to 6pm",\$5.35/entry from 6pm to 11pm,Charges same as weekdays,\$5.35/entry from 8am to 11pm
Parkway East Hospital,"321 Joo Chiat Place, S(427990)","\$2.80 for 1st hr, \$1.40 for next subsequent 30min from 8am to 5pm","\$2.80 for 1st hr, \$1.40 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
Eastgate ,"46 East Coast Road, S(428766)","\$1.20 for 1st hr, \$1.00 for next subsequent 30min from 8am to 6pm",\$2.50/entry from 6pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Eastpoint Mall,"3 Simei Street 6, S(528833)","\$1.20 for 1st hr, \$0.30 for next subsequent 15min from 7am to 5pm","\$1.20 for 1st hr, \$0.30 for next subsequent 15min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Elias Mall,"625 Elias Road, S(510625)",\$0.60/30min from 8am to 5pm,\$1.10/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.10/entry from 8am to 8am the following day
Elizabeth Hotel,"24 Mount Elizabeth, S(228518)","\$4.00 for 1st hr, \$2,00 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day
Eminent Plaza,"195 Lavender Street, S(338758)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
Eng Cheong Tower,"5611 North Bridge Road, S(198782)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only
Environment Building,"40 Scotts Road, S(228231)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
Esplanade Mall,"8 Raffles Avenue, S(039802)",\$2.20/hr from 6am to 6pm everyday inclusive of Public Holidays,"\$6.50/entry from 6pm to 10pm, \$2.20/entry from 10pm to 6am the following day everyday inclusive of Public Holidays",Charges same as Weekdays,Charges same as Weekdays
Euro-Asia Centre,"15 Hoe Chiang Road, S(089316)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 8am to 5pm",\$2.00/entry from 5pm to 8am the following day,\$2.00/entry from 8am to 1pm only,\$2.00/entry from 8am to 1pm only
Far East Plaza,"14 Scotts Road, S(228213)",\$1.07/30min from 8am to 5pm,\$3.53/entry from 5pm to 8am the following day,Charges same as weekdays,\$3.53/entry from 8am to 8am the following day
Far East Shopping Centre,"545 Orchard Road, S(238882)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 8am to 6pm","\$3.50/entry from 6pm to 12midnight, \$5.00/entry from 12midnight to 8am the following day",Charges same as weekdays,"\$4.50/entry from 8am to 12midnight, \$5.00/entry from 12midnight to 8am the following day"
Far East Square,"42 Pekin Street, S(048772)",\$2.14/30min from 6am to 4.59pm,\$3.21/entry from 5pm to 5.59am the following day,\$3.21/entry from 6am to 6am the following day,\$3.21/entry from 6am to 6am the following day
Far Eastern Bank Building,"156 Cecil Street, S(069544)",\$2.50/30min from 7am to 6pm,\$3.20/entry from 6.30pm to 7am,"\$2.50/30min from 7am to 1pm, \$3.20/entry from 1pm to 7am",Closed
First Commercial Bank,"76 Shenton Way, S(079119)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 5pm","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 5pm to 8am the following day","Charges same as weekdays, Car Park closes at 2pm",Closed
Fortune Centre,"190 Middle Road, S(188979)",\$3.22/hr from 7am to 5pm,\$3.21/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Forum The Shopping Mall,"583 Orchard Road, S(238884)","\$2.40 for 1st hr, \$1.20 for subsequent 30min from 6am to 5pm",\$3.20/entry from 5pm to 6am the following day,"\$2.60 for 1st hr, \$1.40 for subsequent 30min from 6am to 5pm, \$3.20/entry from 5pm to 6am the following day",\$3.20/entry from 6am to 6am the following day
Four Seasons Hotel,"190 Orchard Boulevard, S(248646)","\$6.00 for 1st hr, \$3.00 for next subsequent 30min from 6am to 6pm",\$6.00/entry from 6pm to 6am the following day,Charges same as weekdays,Charges same as weekdays
Fu Lu Shou Complex,"149 Rochor Road, S(188425)",\$1.20/30min from 8am to 5pm,\$2.20/entry from 5pm to 11pm,Charges same as weekdays,Charges same as weekdays
Fuji Xerox Towers,"80 Anson Road, S(079907)",\$2.20/30min from 7am to 6pm,\$3.50/entry from 6pm to 11pm,\$3.50/entry from 7am to 11pm,\$3.50/entry from 7am to 11pm
Funan DigitaLife Mall,"109 North Bridge Road, S(179097)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Furama City Centre Singapore,"60 Eu Tong Sen Street, S(059804)",\$1.70/30min from 5.59am to 6pm,\$3.21/entry from 6pm to 5.59am the following day,Charges same as weekdays,\$3.21/entry from 5.59am to 6am the following day
Gateway @ 150 Beach Rd,"150 Beach Road, S(189720)",\$2.80/hr from 7am to 6pm,\$2.10/entry from 6pm to 7am the following day,"\$2.80/hr from 7am to 1pm, \$2.10/entry from 1pm to 7am the following day",\$2.10/entry from 7am to 7am the following day
West Coast Plaza,"154 West Coast Road, S(127371)","\$1.34/hr, \$1.00 for subsequent 30min from 7am to 5pm","\$1.34/hr, \$1.00 for subsequent 30min from 5pm to 7am the following day","\$1.61/hr, \$1.00 for subsequent 30min from 7am to 7am the following day","\$1.61/hr, \$1.00 for subsequent 30min from 7am to 7am the following day"
Gleneagles Hospital,"6A Napier Road, S(258500)","\$2.00 for the 1st 30min, \$0.80 for next subsequent 15min from 7am to 5pm","\$2.00 for the 1st 30min, \$0.80 for next subsequent 15min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Goldbell Towers,"47 Scotts Road, S(228233)","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 8am to 5pm",\$5.00/entry from 5pm to 8am the following day,"\$4.00 fro 1st hr, \$2.00 for next subsequent 30min from 8am to 1pm, \$5.00/entry from 1pm to 8am the following day",\$5.00/entry from 8am to 8am the following day
Landmark Village Hotel,"390 Victoria Street, S(188061)","\$1.90 for 1st hr, \$1.07 for next subsequent 30min from 8am to 5pm",\$2.14/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.14/entry from 8am to 8am the following day
Golden Mile Complex,"5001 Beach Road, S(199588)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7.01am to 6pm",\$2.90/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.90/entry from 7.01am to 7am the following day
Golden Shoe Complex,"50 Market Street, S(048940)",\$5.20/hr from 7am to 5pm,\$3.30/entry from 5pm to 7am the following day,"\$5.20/hr from 7am to 1pm, \$3.30/entry from 1pm to 7am the following day",\$3.30/entry from 7am to 7am the following day
Goldhill Plaza,"1 Goldhill Plaza, S(308899)","\$1.60 for 1st hr, \$1.00 for next subsequent 30min from 7am to 5.30pm",\$2.00/entry from 5.30pm to 12midnight the following day,"\$1.00/hr from 7am to 5.30pm, \$2.00/entry from 5.30pm to 7am the following day","\$1.00/hr from 7am to 5.30pm, \$2.00/entry from 5.30pm to 7am the following day"
Goodwood Park Hotel,"22 Scotts Road, S(228221)","\$5.35 for 1st hr, \$2.50 for next subsequent 30min from 8am to 6pm",\$5.35/entry from 6pm to 8am the following day,Charges same as weekdays,\$6.42/entry from 8am to 7.59am the following day
Bright Vision Hospital,"5 Lorong Napiri, S(547530)",Free Parking,Free Parking,Free Parking,Free Parking
Bukit Panjang Plaza,"1 Jelebu Road, S(677743)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 5.59pm",\$2.57/entry from 6pm to 11.59pm,"\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, \$2.57/entry from 6pm to 11.59pm","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, \$2.57/entry from 6pm to 11.59pm"
Bukit Timah Plaza (Multi-Storey Car Park),"1 Jalan Anak Bukit, S(588996)",\$1.40/hr from 7.30am to 5pm,\$2.40/entry from 5.01pm to 7.30am the following day,Charges same as weekdays,"\$2.40 for the 1st 3hr, \$1,40 for the next subsequent hr from 7.30am to 7.30am the following day"
Bukit Timah Shopping Centre,"170 Upper Bukit Timah Road, S(588179)",\$1.50/hr from 7am to 7pm,\$2.80/entry from 7pm to 7am the following day,Charges same as weekdays,\$3.00/entry from 7am to 7am the following day
Burlington Square,"175 Bencoolen Street, S(189649)",\$0.04/min from 7am to 4.49pm,\$2.20/entry from 5pm to 6.59am the following day,"\$3.20 for 1st 3hrs, \$1.80 for next subsequent 30min from 7am to 4.59pm, \$2.20/entry from 5pm to 6.59am the following day","\$3.20 for 1st 3hrs, \$1.80 for next subsequent 30min from 7am to 4.59pm, \$2.20/entry from 5pm to 6.59am the following day"
Cairnhill Art Centre,"126 Cairnhill Road, S(229707)",HDB parking rates from 8am to 6pm,"Free parking at night, Sunday and PH",Charges same as weekdays,Free Parking
Cairnhill Place,"15 Cairnhill Road, S(229650)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
Capital Square,"23 Church Street, S(049481)",\$2.40/30min from 8am to 6pm,\$3.20/entry from 6pm to 8am,\$3.20/entry from 8am to 8am the following day,\$3.20/entry from 8am to 8am the following day
Capital Tower,"168 Robinson Road, S(068912)",\$2.80/30min from 7am to 5.59pm,\$3.70/entry from 6pm to 6.59am the following day,"\$2.80/30min from 7am to 12.59pm, \$3.70/entry from 1pm to 6.59am the following day",\$3.70/entry from 7am to 6.59am the following day
Capitol Centre,"141 North Bridge Road, S(179099)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
CapitaCommercial Trust (CCT),"39 Robinson Road, S(068911)",\$2.05/30min from 8am to 5pm,\$3.10/entry from 5pm to 8am the following day,"Charges same as weekdays, \$3.10/entry after 1pm",\$3.10/entry
Carlton Hotel,"76 Bras Basah Road, S(189558)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 7am the following day on Mon to Sat and eve of PH,Charges same as weekdays,Charges same as weekdays
Causeway Point,"1 Woodlands Square, S(738099)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 7am the following day","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays
Central Mall,"1 & 3 Magazine Road, S(059567)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 7am to 5pm",\$3.60/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.60/entry from 7am to 7am the following day
The Centrepoint,"176 Orchard Road, S(238843)","\$1.50 for 1st hr, \$1.00 for next subsequent 30min from 7am to 5pm","\$1.50 for 1st hr, \$1.00 for next subsequent hr from 5pm to 7am the following day",Charges same as weekdays,"\$1.50 for 1st hr, \$1.00 for next subsequent hr from 7am to 7am the following day"
Orchard Building,"1 Grange Road, S(239693)","\$2.20 for 1st hr, \$1.20 for next subsequent 30min from 6.30am to 6pm",\$4.00/entry from 6pm to 1am the following day,Charges same as weekdays,"\$3.60 for 1st 3hr, \$1.20 for next subsequent 30min, \$4.00/entry from 6pm to 1am the following day"
Century Square,"2 Tampines Central 5, S(529509)","\$1.07 for 1st hr, \$0.32 for next subsequent 15min from 3.01am to 6pm",\$2.14/entry from 6.01pm to 3am the following day,"\$0.32/15min from 3.01am to 6pm, \$2.14/entry from 6.01pm to 3am the following day","\$0.32/15min from 3.01am to 6pm, \$2.14/entry from 6.01pm to 3am the following day"
Changi Airport Terminal 1,"1 Airport Boulevard, S(819642)",\$0.04/min from 12midnight to 12midnight the following day,\$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays
Changi Hospital (CGH),"2 Simei Street 3, S(529889)","\$1.28 for 1st hr, \$0.03/min for next subsequent min from 7am to 5pm","\$1.28 for 1st hr, \$0.03/min for next subsequent min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays
Changi Village Hotel,"1 Netheravon Road, S(508502)","\$4.00 for 1st hr, \$3,00 for next subsequent hr from 6am to 5pm",\$6.50/entry from 6pm to 5am the following day,"\$4.00 for 1st hr, \$3.00 for next subsequent hr from 6am to 6am the following day","\$4.00 for 1st hr, \$3.00 for next subsequent hr from 6am to 6am the following day"
Chijmes (Basement Car Park),"30 Victoria Street, S(187996)","\$0.25/15min from 8am to 10.59am, \$0.55/15min from 11am to 5.59pm",\$2.20/hr from 6.00pm to 7.59am the following day,"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 5.59pm, 2.20/hr from 6pm to 7.59am the following day","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 5.59pm, 2.20/hr from 6pm to 7.59am the following day"
Bras Basah Complex,"231 Bain Street, S(180231)","\$1.20/30min from 7am the 10am, \$1.40/30min from 10am to 10.30pm",\$0.60/30m from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
28 Maxwell Rd,"28 Maxwell Road, S(069120)","\$2.60 for 1st hr, \$0.55 for next subsequent 15min from 7am to 4.59pm",\$3.60/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.60/entry from 7am to 7am the following day
The Bencoolen,"180 Bencoolen Street, S(189646)",\$1.20/30min from 6am to 5pm,"\$1.20/30min from 5pm to 11pm, \$3.00/entry from 11pm to 6am the following day",Charges same as weekdays,"\$1.20/hr from 6am to 11pm, \$3.00/entry from 11pm to 6am the following day"
Beach Centre,"15 Beach Road, S(189677)","\$1.50 for 1st 30min, \$1.20 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am,Charges same as weekdays,\$3.50/entry from 8am to 8am the following day
Bangkok Bank Building,"180 Cecil Street, S(069546)","\$2.00 for 1st 30min, \$4.00 for next subsequent hr from 7am to 7pm","\$2.00 for 1st 30min, \$4.00 for next subsequent hr from 7am to 7pm",Charges same as weekdays but closed after 3pm,Closed
Balestier Point,"279 Balestier Road, S(329727)",\$0.70/hr from 8am to 10pm,\$2.00/entry from 10pm to 8am the following day,Charges same as weekdays,\$2.00/entry from 8am to 8am the following day
Balestier Plaza,"400 Balestier Road, S(329802)",\$1.20/hr,\$1.20/hr,Charges same as weekdays,Charges same as weekdays
Automobile Megamart (AML),"61 Ubi Avenue 2, S(408898)",\$1.20/hr from 8am to 6pm,"\$1.50/entry from 6pm to 12midnight the following day, \$10.00/entry from 12midnight to 8am",Charges same as weekdays,Charges same as weekdays
2HR,"2 Havelock Road, S(059763)",\$1.50/30min from 7am to 4.59pm,\$3.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.00/entry from 7am to 7am the following day
Hub Synergy,"70 Anson Road, S(079905)",\$2.60/hr from 7am to 6pm,\$1.00/hr from 6pm to 12midnight,"\$1.00/30min from 7am to 2pm, \$1.00/hr from 2pm to 12midnight",\$1.00/hr from 7am to 12midnight
Ang Mo Kio Community Hospital,"17 Ang Mo Kio Avenue 9, S(569766)",\$0.86/30min from 7am to 10pm,\$3.10/entry from 10pm to 7am the following day,Charges same as weekdays,\$3.10/entry from 7am to 7am the following day
Anchorpoint Shopping Centre,"370 Alexandra Road, S(159953)",\$2.00/hr from 8am to 6.59pm,\$3.00/entry from 7pm to 7.59am,Charges same as weekdays,Charges same as weekdays
Amtech Building,"157 Sin Ming Road, S(575624)","\$1.00 for 1st hr, \$2.00 for next subsequent 30min from 8am to 5pm",\$2.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.00/entry from 8am to 8am the following day
Amara Hotel,"165 Tanjong Pagar Road, S(088539)",\$2.00/30min from 8am to 5pm,\$3.00/entry from 5pm to 7.59am the following day,Charges same as weekdays,\$3.00/entry from 8am to 7.59am the following day
Allson Hotel,"101 Victoria Street, S(188018)",\$1.50/30min from 7am to 5pm,\$4.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.00/entry from 7am to 7am the following day
Alexandra Hospital,"378 Alexandra Road, S(159964)",\$1.80/hr from 7am to 10pm,\$1.60/hr from 10pm to 7am the following day,Charges same as weekdays,\$1.68/hr from 7am to 7am the following day
Albert Court Hotel,"180 Albert Street, S(189971)","\$2.50 for 1st hr, \$1.00 for next subsequent 30min from 8am to 6pm",\$3.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$3.50/entry from 8am to 8am the following day
Albert Complex,"60 Albert Street, S(189969)",\$1.20/30min from 7am to 11pm daily,\$1.20/30min from 7am to 11pm daily,Charges same as weekdays,Charges same as weekdays
AIA (Changi),"160 Changi Road, S(419728)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
Adam Road Medical Centre ,"19 Adam Road, S(289891)",Free Parking,Free Parking,Free Parking,Free Parking
888 Plaza,"888 Woodlands Drive 50, S(730888)","\$1.00/hr from 7am to 12pm, Free Parking from 12pm to 2pm, \$1.00/hr from 2pm to 5pm","\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays
79 Anson Road,"79 Anson Road, S(079906)",\$2.00/30min from 7am to 6pm,\$4.00/entry from 6pm to 7am the following day,"\$2.00/30min from 7am to 1pm, \$4.00/entry from 1pm to 11pm",\$4.00/entry from 7am to 7am the following day
51 Bencoolen Street,"51 Bencoolen Street, S(189630)",\$1.00/30min from 7am to 6pm,\$2.00/entry from 6.01pm to 6.59am the following day,Charges same as weekdays,\$2.00/entry from 7am to 7am the following day
Queensway Shopping Centre,"1 Queensway, S(149053)","\$1.80 for 1st 1hr, \$1.60 for next subsequent 30min from 8am to 5.59pm",\$3.30/entry from 6pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays
Raffles City,"252 North Bridge Road, S(179103)","\$2.20 for 1st hr, \$0.55 for next subsequent 15min from 8am to 5.59pm",\$3.00/entry from 6pm to 7.59am the following day,"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 7.59am the following day, \$0.60 for next subsequent 15min after the 5th hr","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 7.59am the following day, \$0.60 for next subsequent 15min after the 5th hr"
Raffles Hospital,"585 North Bridge Road, S(188770)","\$2.80 for 1st hr, \$1.70 for next subsequent 30min from 8am to 4.59pm",\$2.40/entry from 5.00pm to 7.59am the following day,"\$2.80 for 1st hr, \$1.70 for next subsequent 30min from 8am to 12.59pm, \$2.40 for 1st 2hr, \$0.24 for next subsequent 10min from 1pm to 7.59am the following day","\$2.40 for 1st 2hr, \$0.24 for next subsequent 10min from 8amm to 7.59am the following day"
Raffles Hotel,"1 Beach Road, S(189673)","\$3.00 for 1st 30min, \$1.50 for next subsequent 30min from 12.01am to 6pm",\$6.00/entry from 6.01pm to 12midnight,Charges same as weekdays,\$6.00/entry from 12.01am to 12midnight the following day
Raffles Quay,"1 Raffles Quay, S(048583)",\$1.07/10min from 6am to 6pm,"\$3.21 for 1st 4hr, \$0.27 for next subsequent 10min block or thereof from 6.00pm to 6.00am","\$3.21 for 1st 4hr, \$0.27/hr for next subsequent 10min from 6am to 6am the following day","\$3.21 for 1st 4hr, \$0.27/hr for next subsequent 10min from 6am to 6am the following day"
ABI Plaza,"11 Keppel Road, S(089057)","\$4.28 for 1st hr, \$2.68 for next subsequent 30min from 8am to 6pm","\$4,28/entry from 6pm to 8am the following day","Charges same as weekdays, \$4.28/entry from 1pm to 8am the following day",\$4.28/entry from 8am to 8am the following day
